order,question_id,dataset_video_id,video_id,stratum,filename,source_url,local_target,in_uploaded_zip
"1","264-2","264","8e05W-wi38g","short","8e05W-wi38g.mp4","https://www.youtube.com/watch?v=8e05W-wi38g","data/videos/video_mme/8e05W-wi38g.mp4","false"
"2","844-1","844","K7YNoRZMv2k","long","K7YNoRZMv2k.mp4","https://www.youtube.com/watch?v=K7YNoRZMv2k","data/videos/video_mme/K7YNoRZMv2k.mp4","false"
"3","872-2","872","ZP-Y2S750KY","long","ZP-Y2S750KY.mp4","https://www.youtube.com/watch?v=ZP-Y2S750KY","data/videos/video_mme/ZP-Y2S750KY.mp4","false"
"4","184-3","184","HiJb_2dvuHc","short","HiJb_2dvuHc.mp4","https://www.youtube.com/watch?v=HiJb_2dvuHc","data/videos/video_mme/HiJb_2dvuHc.mp4","false"
"5","004-3","004","HwnB8aCn8yE","short","HwnB8aCn8yE.mp4","https://www.youtube.com/watch?v=HwnB8aCn8yE","data/videos/video_mme/HwnB8aCn8yE.mp4","true"
"6","395-2","395","-XpJeDGh8No","medium","-XpJeDGh8No.mp4","https://www.youtube.com/watch?v=-XpJeDGh8No","data/videos/video_mme/-XpJeDGh8No.mp4","false"
"7","815-2","815","7TydWUguPRU","long","7TydWUguPRU.mp4","https://www.youtube.com/watch?v=7TydWUguPRU","data/videos/video_mme/7TydWUguPRU.mp4","false"
"8","491-2","491","dez7DLniEJA","medium","dez7DLniEJA.mp4","https://www.youtube.com/watch?v=dez7DLniEJA","data/videos/video_mme/dez7DLniEJA.mp4","false"
"9","305-3","305","tuZcS2Flabw","medium","tuZcS2Flabw.mp4","https://www.youtube.com/watch?v=tuZcS2Flabw","data/videos/video_mme/tuZcS2Flabw.mp4","false"
"10","409-3","409","uMIohuKRq58","medium","uMIohuKRq58.mp4","https://www.youtube.com/watch?v=uMIohuKRq58","data/videos/video_mme/uMIohuKRq58.mp4","false"
"11","871-2","871","ZkhAbUGoD18","long","ZkhAbUGoD18.mp4","https://www.youtube.com/watch?v=ZkhAbUGoD18","data/videos/video_mme/ZkhAbUGoD18.mp4","false"
"12","304-1","304","QTA8j5wSTx4","medium","QTA8j5wSTx4.mp4","https://www.youtube.com/watch?v=QTA8j5wSTx4","data/videos/video_mme/QTA8j5wSTx4.mp4","false"
"13","102-2","102","0IdYJGBmguM","short","0IdYJGBmguM.mp4","https://www.youtube.com/watch?v=0IdYJGBmguM","data/videos/video_mme/0IdYJGBmguM.mp4","false"
"14","128-1","128","EJ_yarUrgVQ","short","EJ_yarUrgVQ.mp4","https://www.youtube.com/watch?v=EJ_yarUrgVQ","data/videos/video_mme/EJ_yarUrgVQ.mp4","false"
"15","170-2","170","E895PNqSgEI","short","E895PNqSgEI.mp4","https://www.youtube.com/watch?v=E895PNqSgEI","data/videos/video_mme/E895PNqSgEI.mp4","false"
"16","158-3","158","uJFbOrNrL3w","short","uJFbOrNrL3w.mp4","https://www.youtube.com/watch?v=uJFbOrNrL3w","data/videos/video_mme/uJFbOrNrL3w.mp4","false"
"17","538-1","538","uhYiRmGURwE","medium","uhYiRmGURwE.mp4","https://www.youtube.com/watch?v=uhYiRmGURwE","data/videos/video_mme/uhYiRmGURwE.mp4","false"
"18","584-3","584","lNvBXLbInXE","medium","lNvBXLbInXE.mp4","https://www.youtube.com/watch?v=lNvBXLbInXE","data/videos/video_mme/lNvBXLbInXE.mp4","false"
"19","705-1","705","X6UqTmRAApw","long","X6UqTmRAApw.mp4","https://www.youtube.com/watch?v=X6UqTmRAApw","data/videos/video_mme/X6UqTmRAApw.mp4","false"
"20","544-1","544","_CqKv0Y1FB0","medium","_CqKv0Y1FB0.mp4","https://www.youtube.com/watch?v=_CqKv0Y1FB0","data/videos/video_mme/_CqKv0Y1FB0.mp4","false"
"21","384-3","384","ECgVLceb_LE","medium","ECgVLceb_LE.mp4","https://www.youtube.com/watch?v=ECgVLceb_LE","data/videos/video_mme/ECgVLceb_LE.mp4","false"
"22","891-3","891","uuCVnqV4cNc","long","uuCVnqV4cNc.mp4","https://www.youtube.com/watch?v=uuCVnqV4cNc","data/videos/video_mme/uuCVnqV4cNc.mp4","false"
"23","168-3","168","DK6bKtXUE1c","short","DK6bKtXUE1c.mp4","https://www.youtube.com/watch?v=DK6bKtXUE1c","data/videos/video_mme/DK6bKtXUE1c.mp4","false"
"24","306-2","306","s_TGkDcjBqI","medium","s_TGkDcjBqI.mp4","https://www.youtube.com/watch?v=s_TGkDcjBqI","data/videos/video_mme/s_TGkDcjBqI.mp4","false"
"25","012-3","012","qvwfWyU9Gfc","short","qvwfWyU9Gfc.mp4","https://www.youtube.com/watch?v=qvwfWyU9Gfc","data/videos/video_mme/qvwfWyU9Gfc.mp4","true"
"26","056-2","056","WmVLcj-XKnM","short","WmVLcj-XKnM.mp4","https://www.youtube.com/watch?v=WmVLcj-XKnM","data/videos/video_mme/WmVLcj-XKnM.mp4","false"
"27","630-1","630","BjmPvovl-V4","long","BjmPvovl-V4.mp4","https://www.youtube.com/watch?v=BjmPvovl-V4","data/videos/video_mme/BjmPvovl-V4.mp4","false"
"28","443-1","443","cPlpZdGLa5A","medium","cPlpZdGLa5A.mp4","https://www.youtube.com/watch?v=cPlpZdGLa5A","data/videos/video_mme/cPlpZdGLa5A.mp4","false"
"29","383-2","383","e3fz3dqhN44","medium","e3fz3dqhN44.mp4","https://www.youtube.com/watch?v=e3fz3dqhN44","data/videos/video_mme/e3fz3dqhN44.mp4","false"
"30","411-3","411","K759eXmaMTY","medium","K759eXmaMTY.mp4","https://www.youtube.com/watch?v=K759eXmaMTY","data/videos/video_mme/K759eXmaMTY.mp4","false"
